,Unnamed: 0,Unnamed: 0.1,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date,total_pronouns,female_mentions,male_mentions,total,male_skewness,male_skewness_log
441,441,441,PG1659_text,The Girl with the Golden Eyes,"Balzac, Honoré de",1799.0,1850.0,['en'],187,"{'France -- Social life and customs -- 19th century -- Fiction', 'Brothers and sisters -- Fiction', 'Man-woman relationships -- Fiction', 'French fiction -- Translations into English'}",honor,F,1849,3172,388,873,1261,2.25,0.8109302162163288
442,442,442,PG165_text,McTeague: A Story of San Francisco,"Norris, Frank",1870.0,1902.0,['en'],451,"{'Didactic fiction', 'San Francisco (Calif.) -- Fiction', 'Avarice -- Fiction', 'Psychological fiction', 'Married people -- Fiction', 'Dentists -- Fiction', 'Murderers -- Fiction'}",frank,M,1920,14751,2460,4487,6947,1.8239837398373984,0.6010229770495749
443,443,443,PG16609_text,"Life of Lord Byron, Vol. 5: With His Letters and Journals","Moore, Thomas",1779.0,1852.0,['en'],57,"{'Poets, English -- 19th century -- Biography', 'Byron, George Gordon Byron, Baron, 1788-1824'}",thomas,M,1829,11571,377,1894,2271,5.023872679045093,1.6142010862980127
444,444,444,PG1660_text,Scenes from a Courtesan's Life,"Balzac, Honoré de",1799.0,1850.0,['en'],279,"{'France -- Social life and customs -- 19th century -- Fiction', 'French fiction -- Translations into English'}",honor,F,1849,21284,2448,5291,7739,2.161356209150327,0.770735899271915
445,445,445,PG1661_text,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1859.0,1930.0,['en'],23164,"{'Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories, English'}",arthur,M,1909,15449,867,3146,4013,3.6286043829296424,1.2888481068376814
446,446,446,PG16653_text,Myths of Babylonia and Assyria,"Mackenzie, Donald A. (Donald Alexander)",1873.0,1936.0,['en'],526,"{'Assyro-Babylonian religion', 'Mythology, Assyro-Babylonian'}",donald,M,1923,9258,671,3262,3933,4.8614008941877795,1.5813266462092774
447,447,447,PG1665_text,"Derrick Vaughan, Novelist","Lyall, Edna",1857.0,1903.0,['en'],10,{'Novelists -- Fiction'},edna,F,1907,3815,242,1230,1472,5.082644628099174,1.625831722209777
448,448,448,PG16662_text,Bad Hugh,"Holmes, Mary Jane",1825.0,1907.0,['en'],19,{'Fiction'},mary,F,1875,19236,4916,5031,9947,1.023393002441009,0.0231235798053931
449,449,449,PG16663_text,The Tale of Solomon Owl,"Bailey, Arthur Scott",1877.0,1949.0,['en'],55,"{'Animals -- Juvenile fiction', 'Owls -- Juvenile fiction'}",arthur,M,1927,1986,47,935,982,19.893617021276597,2.9903989275786285
450,450,450,PG1667_text,My Aunt Margaret's Mirror,"Scott, Walter",1771.0,1832.0,['en'],37,"{'Magic -- Fiction', 'Scotland -- Social life and customs -- Fiction'}",walter,M,1821,1495,199,276,475,1.3869346733668342,0.3270960409926576
451,451,451,PG1668_text,"The Tapestried Chamber, and Death of the Laird's Jock","Scott, Walter",1771.0,1832.0,['en'],157,"{'Ghost stories', 'Scotland -- Social life and customs -- Fiction'}",walter,M,1821,801,26,209,235,8.038461538461538,2.084237713943329
452,452,452,PG166_text,Summer,"Wharton, Edith",1862.0,1937.0,['en'],479,"{'Man-woman relationships -- Fiction', 'Berkshire Hills (Mass.) -- Fiction', 'Love stories', 'Young women -- Fiction', 'Guardian and ward -- Fiction'}",edith,F,1912,8178,3183,1678,4861,0.5271756204838203,-0.6402215402549414
