,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date
0,0,PG10140_text,Rhetoric and Poetry in the Renaissance: A Study of Rhetorical Terms in English Renaissance Literary Criticism,"Clark, Donald Lemen",1888.0,1966.0,['en'],76,"{'Poetry -- History and criticism', 'Criticism -- Great Britain -- History -- 17th century', 'Rhetoric -- Terminology', 'Renaissance', 'Criticism -- Great Britain -- History -- 16th century', 'English language -- Early modern, 1500-1700 -- Terms and phrases'}",donald,M,1937
1,1,PG1027_text,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872.0,1939.0,['en'],165,"{'Mexican-American Border Region -- Fiction', 'Western stories'}",zane,M,1921
2,2,PG1029_text,The Night-Born,"London, Jack",1876.0,1916.0,['en'],186,"{'Short stories', 'Adventure and adventurers -- Fiction'}",jack,M,1925
3,3,PG10552_text,Roy Blakeley: His Story,"Fitzhugh, Percy Keese",1876.0,1950.0,['en'],13,{'Boy Scouts of America -- Juvenile fiction'},percy,M,1925
4,4,PG1056_text,Martin Eden,"London, Jack",1876.0,1916.0,['en'],716,"{'Working class -- Fiction', 'Authors -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Autobiographical fiction', 'Bildungsromans', 'Young men -- Fiction'}",jack,M,1925
5,5,PG10667_text,Snake and Sword: A Novel,"Wren, Percival Christopher",1885.0,1941.0,['en'],15,{'British -- India -- Fiction'},percival,M,1934
6,6,PG1074_text,The Sea-Wolf,"London, Jack",1876.0,1916.0,['en'],1142,"{'Arctic regions -- Fiction', 'Sealing ships -- Fiction', 'Ship captains -- Fiction', 'Sealers (Persons) -- Fiction', 'Sea stories'}",jack,M,1925
7,7,PG1075_text,The Strength of the Strong,"London, Jack",1876.0,1916.0,['en'],107,{'Socialism -- Fiction'},jack,M,1925
8,8,PG1089_text,"Moon-Face, and Other Stories","London, Jack",1876.0,1916.0,['en'],220,"{'Short stories', 'United States -- Social life and customs -- 20th century -- Fiction'}",jack,M,1925
9,9,PG1095_text,The Light of the Western Stars,"Grey, Zane",1872.0,1939.0,['en'],140,"{'Women pioneers -- Fiction', 'Western stories', 'New Mexico -- Fiction'}",zane,M,1921
10,10,PG1099_text,The Riverman,"White, Stewart Edward",1873.0,1946.0,['en'],67,"{'Loggers -- Fiction', 'Conduct of life -- Fiction', 'Youth -- Conduct of life -- Fiction', 'Labor movement -- Fiction', 'Rivers -- Fiction', 'Adventure and adventurers -- Fiction'}",stewart,M,1922
11,11,PG11200_text,"The World War and What was Behind It; Or, The Story of the Map of Europe","Bénézet, Louis Paul",1878.0,1961.0,['en'],48,"{'World War, 1914-1918 -- Causes', 'Europe -- History'}",louis,M,1927
12,12,PG11522_text,Deadly Pollen,"Oliver, Stephen",1950.0,,['en'],25,{'Poetry'},stephen,M,1999
13,13,PG1154_text,The Voyages of Doctor Dolittle,"Lofting, Hugh",1886.0,1947.0,['en'],359,"{'Voyages and travels -- Juvenile fiction', 'Fantasy literature', 'Animals -- Juvenile fiction', 'Human-animal communication -- Juvenile fiction'}",hugh,M,1935
14,14,PG1155_text,The Secret Adversary,"Christie, Agatha",1890.0,1976.0,['en'],1970,"{'Detective and mystery stories', 'Missing persons -- Fiction', 'Beresford, Tommy (Fictitious character) -- Fiction', 'Married people -- Fiction', 'Private investigators -- England -- Fiction', 'Domestic fiction', 'Beresford, Tuppence (Fictitious character) -- Fiction'}",agatha,F,1939
15,15,PG1156_text,Babbitt,"Lewis, Sinclair",1885.0,1951.0,['en'],686,"{'Satire', 'Psychological fiction', 'Businessmen -- Fiction', 'Conformity -- Fiction', 'Middle-aged men -- Fiction'}",sinclair,M,1934
16,16,PG1162_text,The Jacket (The Star-Rover),"London, Jack",1876.0,1916.0,['en'],259,"{'Paranormal fiction', 'Death row inmates -- Fiction', 'California State Prison at San Quentin -- Fiction', 'Reincarnation -- Fiction', 'Prisoners -- Fiction', 'Psychological fiction', 'San Quentin (Calif.) -- Fiction', 'Astral projection -- Fiction'}",jack,M,1925
17,17,PG1164_text,The Iron Heel,"London, Jack",1876.0,1916.0,['en'],522,"{'Socialism -- Fiction', 'Revolutions -- Fiction', 'Political fiction', 'Oligarchy -- Fiction', 'Science fiction', 'Revolutionaries -- Fiction', 'Dystopias -- Fiction'}",jack,M,1925
18,18,PG11668_text,The Gold Hunters: A Story of Life and Adventure in the Hudson Bay Wilds,"Curwood, James Oliver",1878.0,1927.0,['en'],26,"{'Gold mines and mining -- Fiction', 'Hudson Bay -- Fiction'}",james,M,1927
19,19,PG11867_text,The Alaskan,"Curwood, James Oliver",1878.0,1927.0,['en'],27,{'Alaska -- Fiction'},james,M,1927
20,20,PG1208_text,South Sea Tales,"London, Jack",1876.0,1916.0,['en'],137,"{'Short stories', 'Oceania -- Fiction'}",jack,M,1925
