,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date
9427,9427,PG64991_text,The Story of Alexander,"Steele, Robert",1860.0,1944.0,['en'],6,"{'Alexander, the Great, 356 B.C.-323 B.C. -- Juvenile fiction'}",robert,M,1910
9428,9428,PG64992_text,Narrative of Henry Box Brown: Who Escaped from Slavery Enclosed in a Box 3 Feet Long and 2 Wide,"Brown, Henry Box",1815.0,1897.0,['en'],53,"{'African Americans -- Virginia -- Biography', 'Slavery -- Virginia -- History -- 19th century', 'Fugitive slaves -- Virginia -- Biography', 'Brown, Henry Box, 1815 or 1816-', 'African American abolitionists -- Biography'}",henry,M,1865
9429,9429,PG64997_text,The Joss: A Reversion,"Marsh, Richard",1857.0,1915.0,['en'],36,"{'Paranormal fiction', 'London (England) -- Fiction', 'Blessing and cursing -- Fiction', 'Horror fiction', 'Haunted houses -- Fiction', 'Monsters -- Fiction'}",richard,M,1907
9430,9430,PG64999_text,"The Golden Harpoon; Or, Lost Among the Floes: A Story of the Whaling Grounds","Starbuck, Roger",1837.0,,['en'],9,"{'Sailors -- Fiction', 'Women -- Fiction', 'Dime novels', 'Whaling ships -- Fiction', 'Mutiny -- Fiction', 'Sea stories'}",roger,M,1887
9431,9431,PG65000_text,Familiar Studies in Homer,"Clerke, Agnes M. (Agnes Mary)",1842.0,1907.0,['en'],9,"{'Epic poetry, Greek -- History and criticism', 'Homer -- Criticism and interpretation'}",agnes,F,1892
9432,9432,PG65001_text,The Story My Doggie Told to Me,"Barbour, Ralph Henry",1870.0,1944.0,['en'],52,"{'Dogs -- Juvenile fiction', 'Dachshunds -- Juvenile fiction'}",ralph,M,1920
9433,9433,PG65002_text,"The Birds of Australia, Vol. 1 of 7","Gould, John",1804.0,1881.0,['en'],36,{'Birds -- Australia -- Pictorial works'},john,M,1854
9434,9434,PG65003_text,"Porneiopathology: A Popular Treatise on Venereal and Other Diseases of the Male and Female Genital System; With Remarks on Impotence, Onanism, Sterility, Piles, and Gravel, and Prescriptions for Their Treatment","Culverwell, Robert James",1802.0,1852.0,['en'],71,"{'Genitourinary organs -- Diseases', 'Sexually transmitted diseases', 'Sexual health'}",robert,M,1852
9435,9435,PG65004_text,The Alhambra and the Kremlin: The South and the North of Europe,"Prime, Samuel Irenæus",1812.0,1885.0,['en'],19,{'Europe -- Description and travel'},samuel,M,1862
9436,9436,PG65007_text,"U.S. Marine Operations in Korea, 1950-1953, Volume 1 (of 5): The Pusan Perimeter","Montross, Lynn",1895.0,1961.0,['en'],87,"{'United States. Marine Corps -- History -- Korean War, 1950-1953', 'Korean War, 1950-1953 -- Campaigns'}",lynn,F,1945
9437,9437,PG65010_text,"U.S. Marine Operations in Korea, 1950-1953, Volume 4 (of 5): The East-Central Front","Montross, Lynn",1895.0,1961.0,['en'],81,"{'United States. Marine Corps -- History -- Korean War, 1950-1953', 'Korean War, 1950-1953 -- Campaigns'}",lynn,F,1945
9438,9438,PG65012_text,Disappeared From Her Home: A Novel,"Pirkis, Catherine Louisa",1839.0,1910.0,['en'],71,"{'Missing persons -- Fiction', 'Detective and mystery stories'}",catherine,F,1889
9439,9439,PG65014_text,The ecclesiastical architecture of Scotland from the earliest Christian times to the seventeenth century; vol. 3/3,"MacGibbon, David",1831.0,1902.0,['en'],58,{'Church architecture -- Scotland'},david,M,1881
9440,9440,PG65017_text,The Soul Stealers,"Geier, Chester S.",1921.0,1990.0,['en'],18,"{'Adventure stories', 'Science fiction'}",chester,M,1971
9441,9441,PG65018_text,A Fool in Spots,"Rives, Hallie Erminie",1876.0,1956.0,['en'],9,{'American fiction -- 19th century'},hallie,F,1926
9442,9442,PG65026_text,The Social Ladder: Drawings by Charles Dana Gibson,"Gibson, Charles Dana",1867.0,1944.0,['en'],35,"{'American wit and humor, Pictorial', 'Drawing, American', 'Caricatures and cartoons -- United States'}",charles,M,1917
9443,9443,PG65029_text,Two-Legs,"Ewald, Carl",1856.0,1908.0,['en'],20,"{'Fathers and sons -- Juvenile fiction', 'Animals -- Juvenile fiction', 'Human beings -- Juvenile fiction', 'Human-animal relationships -- Juvenile fiction'}",carl,M,1906
9444,9444,PG65032_text,Wind in Her Hair,"Neville, Kris",1925.0,1980.0,['en'],23,"{'Interstellar travel -- Fiction', 'Short stories', 'Science fiction', 'Space ships -- Fiction'}",kris,M,1975
9445,9445,PG65033_text,"The Life and Sufferings of Leonard Black, a Fugitive from Slavery","Black, Leonard",1822.0,1883.0,['en'],11,"{'Fugitive slaves -- United States -- Biography', 'Black, Leonard, 1822-1883', 'African Americans -- Biography'}",leonard,M,1872
9446,9446,PG65035_text,Inheritance,"Ludwig, Edward W.",1920.0,1990.0,['en'],27,"{'Short stories', 'Science fiction', 'Apocalyptic fiction'}",edward,M,1970
9447,9447,PG65040_text,An Apache Campaign in the Sierra Madre: An Account of the Expedition in Pursuit of the Hostile Chiricahua Apaches in the Spring of 1883,"Bourke, John Gregory",1846.0,1896.0,['en'],29,"{'Apache Indians -- Wars, 1883-1886', 'Chiricahua Indians -- Wars'}",john,M,1896
9448,9448,PG65042_text,"The British Campaign in France and Flanders, 1914","Doyle, Arthur Conan",1859.0,1930.0,['en'],34,"{'World War, 1914-1918 -- Campaigns -- Western Front'}",arthur,M,1909
9449,9449,PG65043_text,"The British Campaign in France and Flanders, 1915","Doyle, Arthur Conan",1859.0,1930.0,['en'],18,"{'World War, 1914-1918 -- Campaigns -- Western Front'}",arthur,M,1909
9450,9450,PG65044_text,"The British Campaign in France and Flanders, 1916","Doyle, Arthur Conan",1859.0,1930.0,['en'],18,"{'World War, 1914-1918 -- Campaigns -- Western Front'}",arthur,M,1909
9451,9451,PG65045_text,"The British Campaign in France and Flanders, 1917","Doyle, Arthur Conan",1859.0,1930.0,['en'],23,"{'World War, 1914-1918 -- Campaigns -- Western Front'}",arthur,M,1909
9452,9452,PG65046_text,"The British Campaign in France and Flanders—January to July, 1918","Doyle, Arthur Conan",1859.0,1930.0,['en'],24,"{'World War, 1914-1918 -- Campaigns -- Western Front'}",arthur,M,1909
9453,9453,PG65047_text,"The British Campaign in France and Flanders—July to November, 1918","Doyle, Arthur Conan",1859.0,1930.0,['en'],29,"{'World War, 1914-1918 -- Campaigns -- Western Front'}",arthur,M,1909
